,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36
31, 37.20 , 55.80 , 74.40 , 93.00 , 111.60 , 130.20 , 148.80 , 167.40 , 186.00 , 204.60 , 223.20 , 241.80 , 260.40 , 279.00 , 297.60 , 316.20 , 334.80 
32, 38.40 , 57.60 , 76.80 , 96.00 , 115.20 , 134.40 , 153.60 , 172.80 , 192.00 , 211.20 , 230.40 , 249.60 , 268.80 , 288.00 , 307.20 , 326.40 , 345.60 
33, 39.60 , 59.40 , 79.20 , 99.00 , 118.80 , 138.60 , 158.40 , 178.20 , 198.00 , 217.80 , 237.60 , 257.40 , 277.20 , 297.00 , 316.80 , 336.60 , 356.40 
34, 40.80 , 61.20 , 81.60 , 102.00 , 122.40 , 142.80 , 163.20 , 183.60 , 204.00 , 224.40 , 244.80 , 265.20 , 285.60 , 306.00 , 326.40 , 346.80 , 367.20 
35, 42.00 , 63.00 , 84.00 , 105.00 , 126.00 , 147.00 , 168.00 , 189.00 , 210.00 , 231.00 , 252.00 , 273.00 , 294.00 , 315.00 , 336.00 , 357.00 , 378.00 
36, 43.20 , 64.80 , 86.40 , 108.00 , 129.60 , 151.20 , 172.80 , 194.40 , 216.00 , 237.60 , 259.20 , 280.80 , 302.40 , 324.00 , 345.60 , 367.20 , 388.80 
37, 44.40 , 66.60 , 88.80 , 111.00 , 133.20 , 155.40 , 177.60 , 199.80 , 222.00 , 244.20 , 266.40 , 288.60 , 310.80 , 333.00 , 355.20 , 377.40 , 399.60 
38, 45.60 , 68.40 , 91.20 , 114.00 , 136.80 , 159.60 , 182.40 , 205.20 , 228.00 , 250.80 , 273.60 , 296.40 , 319.20 , 342.00 , 364.80 , 387.60 , 410.40 
39, 46.80 , 70.20 , 93.60 , 117.00 , 140.40 , 163.80 , 187.20 , 210.60 , 234.00 , 257.40 , 280.80 , 304.20 , 327.60 , 351.00 , 374.40 , 397.80 , 421.20 
40, 48.00 , 72.00 , 96.00 , 120.00 , 144.00 , 168.00 , 192.00 , 216.00 , 240.00 , 264.00 , 288.00 , 312.00 , 336.00 , 360.00 , 384.00 , 408.00 , 432.00 
41, 49.20 , 73.80 , 98.40 , 123.00 , 147.60 , 172.20 , 196.80 , 221.40 , 246.00 , 270.60 , 295.20 , 319.80 , 344.40 , 369.00 , 393.60 , 418.20 , 442.80 
42, 50.40 , 75.60 , 100.80 , 126.00 , 151.20 , 176.40 , 201.60 , 226.80 , 252.00 , 277.20 , 302.40 , 327.60 , 352.80 , 378.00 , 403.20 , 428.40 , 453.60 
43, 51.60 , 77.40 , 103.20 , 129.00 , 154.80 , 180.60 , 206.40 , 232.20 , 258.00 , 283.80 , 309.60 , 335.40 , 361.20 , 387.00 , 412.80 , 438.60 , 464.40 
44, 52.80 , 79.20 , 105.60 , 132.00 , 158.40 , 184.80 , 211.20 , 237.60 , 264.00 , 290.40 , 316.80 , 343.20 , 369.60 , 396.00 , 422.40 , 448.80 , 475.20 
45, 54.00 , 81.00 , 108.00 , 135.00 , 162.00 , 189.00 , 216.00 , 243.00 , 270.00 , 297.00 , 324.00 , 351.00 , 378.00 , 405.00 , 432.00 , 459.00 , 486.00 
46, 55.20 , 82.80 , 110.40 , 138.00 , 165.60 , 193.20 , 220.80 , 248.40 , 276.00 , 303.60 , 331.20 , 358.80 , 386.40 , 414.00 , 441.60 , 469.20 , 496.80 
47, 56.40 , 84.60 , 112.80 , 141.00 , 169.20 , 197.40 , 225.60 , 253.80 , 282.00 , 310.20 , 338.40 , 366.60 , 394.80 , 423.00 , 451.20 , 479.40 , 507.60 
48, 57.60 , 86.40 , 115.20 , 144.00 , 172.80 , 201.60 , 230.40 , 259.20 , 288.00 , 316.80 , 345.60 , 374.40 , 403.20 , 432.00 , 460.80 , 489.60 , 518.40 
