,7,8,9,10,12,14,16,18,20,22,24,26,28,30,36,,,
33, 321.70 , 348.80 , 375.90 , 403.00 , 457.20 , 511.40 , 565.60 , 619.80 , 674.00 , 728.20 , 782.40 , 836.60 , 890.80 , 945.00 ," 1,107.60 ",,,
34, 330.60 , 358.40 , 386.20 , 414.00 , 469.60 , 525.20 , 580.80 , 636.40 , 692.00 , 747.60 , 803.20 , 858.80 , 914.40 , 970.00 ," 1,136.80 ",,,
35, 339.50 , 368.00 , 396.50 , 425.00 , 482.00 , 539.00 , 596.00 , 653.00 , 710.00 , 767.00 , 824.00 , 881.00 , 938.00 , 995.00 ," 1,166.00 ",,,
36, 348.40 , 377.60 , 406.80 , 436.00 , 494.40 , 552.80 , 611.20 , 669.60 , 728.00 , 786.40 , 844.80 , 903.20 , 961.60 ," 1,020.00 "," 1,195.20 ",,,
37, 357.30 , 387.20 , 417.10 , 447.00 , 506.80 , 566.60 , 626.40 , 686.20 , 746.00 , 805.80 , 865.60 , 925.40 , 985.20 ," 1,045.00 "," 1,224.40 ",,,
38, 366.20 , 396.80 , 427.40 , 458.00 , 519.20 , 580.40 , 641.60 , 702.80 , 764.00 , 825.20 , 886.40 , 947.60 ," 1,008.80 "," 1,070.00 "," 1,253.60 ",,,
39, 375.10 , 406.40 , 437.70 , 469.00 , 531.60 , 594.20 , 656.80 , 719.40 , 782.00 , 844.60 , 907.20 , 969.80 ," 1,032.40 "," 1,095.00 "," 1,282.80 ",,,
40, 384.00 , 416.00 , 448.00 , 480.00 , 544.00 , 608.00 , 672.00 , 736.00 , 800.00 , 864.00 , 928.00 , 992.00 ," 1,056.00 "," 1,120.00 "," 1,312.00 ",,,
41, 392.90 , 425.60 , 458.30 , 491.00 , 556.40 , 621.80 , 687.20 , 752.60 , 818.00 , 883.40 , 948.80 ," 1,014.20 "," 1,079.60 "," 1,145.00 "," 1,341.20 ",,,
42, 401.80 , 435.20 , 468.60 , 502.00 , 568.80 , 635.60 , 702.40 , 769.20 , 836.00 , 902.80 , 969.60 ," 1,036.40 "," 1,103.20 "," 1,170.00 "," 1,370.40 ",,,
43, 410.70 , 444.80 , 478.90 , 513.00 , 581.20 , 649.40 , 717.60 , 785.80 , 854.00 , 922.20 , 990.40 ," 1,058.60 "," 1,126.80 "," 1,195.00 "," 1,399.60 ",,,
44, 419.60 , 454.40 , 489.20 , 524.00 , 593.60 , 663.20 , 732.80 , 802.40 , 872.00 , 941.60 ," 1,011.20 "," 1,080.80 "," 1,150.40 "," 1,220.00 "," 1,428.80 ",,,
45, 428.50 , 464.00 , 499.50 , 535.00 , 606.00 , 677.00 , 748.00 , 819.00 , 890.00 , 961.00 ," 1,032.00 "," 1,103.00 "," 1,174.00 "," 1,245.00 "," 1,458.00 ",,,
46, 437.40 , 473.60 , 509.80 , 546.00 , 618.40 , 690.80 , 763.20 , 835.60 , 908.00 , 980.40 ," 1,052.80 "," 1,125.20 "," 1,197.60 "," 1,270.00 "," 1,487.20 ",,,
47, 446.30 , 483.20 , 520.10 , 557.00 , 630.80 , 704.60 , 778.40 , 852.20 , 926.00 , 999.80 ," 1,073.60 "," 1,147.40 "," 1,221.20 "," 1,295.00 "," 1,516.40 ",,,
48, 455.20 , 492.80 , 530.40 , 568.00 , 643.20 , 718.40 , 793.60 , 868.80 , 944.00 ," 1,019.20 "," 1,094.40 "," 1,169.60 "," 1,244.80 "," 1,320.00 "," 1,545.60 ",,,
